I0531 10:13:41.832545       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/1/hostPath/ is not allowed" "name"="cloudwatch-agent-29zwt" "namespace"="amazon-cloudwatch" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:42.117116       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/1/hostPath/ is not allowed" "name"="cloudwatch-agent-2f9rl" "namespace"="amazon-cloudwatch" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:42.260866       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/1/hostPath/ is not allowed" "name"="cloudwatch-agent-6xdd7" "namespace"="amazon-cloudwatch" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:42.476368       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/1/hostPath/ is not allowed" "name"="cloudwatch-agent-85jwf" "namespace"="amazon-cloudwatch" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:42.677987       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/1/hostPath/ is not allowed" "name"="cloudwatch-agent-dzdtw" "namespace"="amazon-cloudwatch" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:42.711513       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/1/hostPath/ is not allowed" "name"="cloudwatch-agent-j2fr7" "namespace"="amazon-cloudwatch" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:43.165720       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/1/hostPath/ is not allowed" "name"="cloudwatch-agent-plnlw" "namespace"="amazon-cloudwatch" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:43.183734       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/1/hostPath/ is not allowed" "name"="cloudwatch-agent-mdmwc" "namespace"="amazon-cloudwatch" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:43.568271       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/1/hostPath/ is not allowed" "name"="cloudwatch-agent-srtd7" "namespace"="amazon-cloudwatch" "policy"="disallow-host-path" "rule"="host-path"
I0531 10:13:43.647196       1 validate.go:42] EngineValidate "msg"="failed to apply rule on resource" "kind"="Pod" "msg"="negation anchor matched in resource: /spec/volumes/1/hostPath/ is not allowed" "name"="cloudwatch-agent-qfrqn" "namespace"="amazon-cloudwatch" "policy"="disallow-host-path" "rule"="host-path"
